Country,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,cluster
Norway,1.3151327347899153,1.616460490824124,1.3541390661535322,2.185563429251943,0
Ireland,1.3029157450085407,1.8343767954129098,1.2789858238130056,2.2741834526713727,0
Switzerland,1.502459911437652,1.0239841293900438,1.511013082233979,2.322496984804819,0
"Hong Kong, China (SAR)",1.6490637888141417,1.2289067387510557,1.1535124051091776,2.0198090436672262,0
Iceland,1.3952218900233666,1.9631886048343863,1.3135574096936486,1.627684251896373,0
Germany,1.1698863007224658,1.2451769863571784,1.7613515316893094,1.6575325755264187,0
Sweden,1.3694304671515771,2.099313842821483,1.2407107488133806,1.6194389833766225,0
Australia,1.456306838930238,2.9421447183423877,1.2979383972941956,1.3160800052880959,0
Netherlands,1.2988434150814157,1.7593127192820668,1.1973015551038693,1.770541418493509,0
Denmark,1.111516238433679,1.898520166790523,1.261927657162403,1.8156370872558512,0
Finland,1.2486180126468769,2.070257880939804,1.3302310475936892,1.336226394260755,0
Singapore,1.480740818492987,1.0623208150738734,0.9406881730636315,3.2086188897763654,4
United Kingdom,1.1685288574134234,1.4228950052636122,1.4662164278130405,1.2209487044669252,0
Belgium,1.2106095999937125,2.1988855760757136,1.0789208160978985,1.5049897163270751,0
New Zealand,1.300200858390458,1.8798189287101421,1.3165744834272788,0.9719536765126007,0
Canada,1.3192050647170401,0.9658347008648102,1.5062367979100024,1.3369649796280347,0
United States of America,0.834597803389197,1.0178299389187428,1.5216088582090253,2.0595246895188897,0
Austria,1.19839261021234,0.9433932151683531,1.239955252828898,1.6992155173459318,0
Israel,1.392507003405284,0.9675190056253773,1.3986634802723934,0.9430546461969435,0
Japan,1.617842592706185,0.6496627392112256,1.3386323032326883,1.072694949375832,0
Liechtenstein,1.0802950423257223,0.5377485297763238,1.2374859916237682,5.233686372422361,4
Slovenia,1.1685288574134234,1.447999329053193,1.276520816819274,0.8435255084326243,0
Korea (Republic of),1.4006516632595338,1.0762214436342583,1.1320155241852996,1.0779854518253535,0
Luxembourg,1.2947710851542908,0.317319406141916,1.163738749912892,2.4792146269790214,4
Spain,1.4739536019477777,1.4630251004698267,0.4948630559825497,0.9802569888071423,0
France,1.350426260824995,0.7899987390997384,0.8935638512323516,1.272991513353684,0
Czechia,0.9051848554593583,1.1796868530758722,1.297188581169053,0.8448967305631514,0
Malta,1.3327794978074552,0.9474846437365314,0.843757102977487,0.9131896941672144,0
Estonia,0.8196659269897397,0.9082512532915094,1.4338037080799404,0.7462183130052399,0
Italy,1.46580894209353,0.9423123961215923,0.5363562308180718,1.0653582374959147,0
United Arab Emirates,0.7137853488844967,0.34741868230848016,1.0987142653130904,2.231275027503116,4
Greece,1.2934136418452487,1.5625115956288875,0.5923819216893584,0.4692294929686329,0
Cyprus,1.1223757849060114,0.6286259773231759,1.118202450504291,0.8495382427305501,0
Lithuania,0.4368669138400166,1.1292940912111438,1.412418514818968,0.735799456138703,0
Poland,0.8169510403716571,1.014686572768859,1.215981115380454,0.5385598472969095,0
Andorra,1.2486180126468769,-0.008488299389728714,0.5760438014265807,1.689930245317378,4
Latvia,0.3499905420613557,0.9691760341954897,1.3973631529548778,0.4752636060978044,0
Portugal,1.267622218973459,1.0946806055243559,0.1739104096516828,0.6492808232911631,0
Slovakia,0.65541528659571,0.3961544156030967,1.2876975427068729,0.5617260022048698,1
Hungary,0.5658240281989646,0.64066500588504,1.0506741514098368,0.5246860636158338,1
Saudi Arabia,0.32827144911668904,0.9582860151565225,0.48622148611189747,1.288241706477859,0
Bahrain,0.6214792038696707,0.9988832151242698,0.25695846162544866,1.0533309075508102,0
Chile,1.0137803201826858,1.064594967453019,0.60241016962644,0.14365456530516132,1
Croatia,0.7843724009546581,0.6483500725456018,0.8837629275684552,0.37076425870201585,1
Qatar,1.0205675367278932,-0.4395505551615651,0.3258831812551833,3.4099627553012493,4
Argentina,0.5373177187090924,1.4760051576023725,0.7185569670199035,0.04583475117628661,1
Brunei,0.42736481067672455,0.3371253299357054,0.1338136553514411,2.066110272115057,4
Montenegro,0.5658240281989646,0.5709402440356698,0.9292098852902047,0.05570923116190564,1
Romania,0.45315623354851414,0.31870367280748324,0.7608389505883986,0.43818011212516894,1
Palau,0.16537825203170164,0.8426873379150239,1.2221870680384082,-0.04263729379676764,1
Kazakhstan,0.12058262283332798,0.7800292914886109,1.0284645699196482,0.12458121701940772,1
Russia,-0.0178765946889121,0.5803743964091276,1.118596234600261,0.2804219294327493,1
Belarus,0.28211837660927697,0.7090634629735597,1.1619179604244294,-0.07902770603887421,1
Turkey,0.6757769362313325,1.1174819835062426,-0.20171047689059315,0.3533384420740051,1
Uruguay,0.705640689030247,1.19691517687171,0.06422969532946914,-0.007371895495690193,1
Bulgaria,0.3174119026443567,0.37139445371800467,0.8547855777165834,0.14664708875761182,1
Panama,0.7870872875727426,-0.14303790777807643,0.4910375132138055,0.44103456039720096,1
Bahamas,0.16402080872265937,-0.1451381744430744,0.8797360404434614,0.6389083272927636,1
Barbados,0.8793934325875687,0.7050050113196409,0.6217309207479708,-0.24955666121589787,1
Oman,0.6988534724850395,0.2921980347333019,0.3260150007557225,0.2703630426814101,1
Georgia,0.14365915908703497,0.6648317106277463,1.4305232694333565,-0.27350763908798453,1
Costa Rica,1.0273547532731009,0.7931934629067243,0.004544083659901854,-0.08186699430371945,1
Malaysia,0.4680881099479714,0.12052851106015744,0.5341739177954945,0.345460591900287,1
Kuwait,0.37713940824218567,0.3139098823351009,-0.4716262271986983,1.8122464820781359,4
Serbia,0.44636901700330667,0.4815391202971691,0.8008837450547697,-0.14301629311919684,1
Mauritius,0.3092672427901069,0.5903472535440617,0.2637132400286641,0.23834744682321798,1
Seychelles,0.09343375665249803,0.28112390140876636,0.4105143844172028,0.31566519416111793,1
Trinidad and Tobago,0.10836563305195528,-0.12449350779280816,0.7488881887980943,0.2839013244176519,1
Albania,0.7952319474269904,0.4672702631656475,0.4604234285950009,-0.2938403150677686,1
Cuba,0.8264531435349473,0.32587049184940875,0.9946519678273363,-0.5478256323659911,1
Iran (Islamic Republic of),0.5386751620181347,0.5075401488479415,0.5259447791061924,-0.3671245511633077,1
Sri Lanka,0.5793984612893816,0.2679665490382662,0.6185242131056493,-0.35481160116629207,1
Bosnia and Herzegovina,0.636411080269128,0.1619064919796668,0.35395123401431433,-0.2525840473006151,1
