,giniCIA
South Africa,63.0
Namibia,59.1
Suriname,
Zambia,57.1
Sao Tome and Principe,56.3
Central African Republic,43.6
Eswatini,54.6
Mozambique,54.0
Brazil,53.9
Belize,
Botswana,53.3
Angola,51.3
Colombia,50.4
Saint Lucia,51.2
Guinea-Bissau,50.7
Zimbabwe,44.3
Panama,49.2
Republic of the Congo,48.9
Guatemala,48.3
Costa Rica,48.0
Honduras,52.1
Benin,47.8
Cameroon,46.5
Nicaragua,46.2
Paraguay,46.2
Ecuador,45.4
Jamaica,35.0
Mexico,36.8
Comoros,45.3
Guyana,44.6
Lesotho,44.9
Venezuela,39.0
Malawi,44.7
Chile,44.4
South Sudan,46.0
Rwanda,43.7
Ghana,43.5
Chad,43.3
Togo,43.1
Argentina,41.4
Uganda,42.8
Madagascar,42.6
Philippines,44.4
DR Congo,42.1
Iran,40.8
Papua New Guinea,50.9
Dominican Republic,43.7
Turkey,41.9
Djibouti,41.6
Bolivia,42.2
Ivory Coast,
Peru,42.8
United States,41.1
Bulgaria,40.4
Haiti,41.1
Malaysia,41.0
Turkmenistan,40.8
Kenya,40.8
Tanzania,40.5
Trinidad and Tobago,
Senegal,40.3
Micronesia,40.1
Uruguay,39.7
Morocco,39.5
Sri Lanka,39.8
Tuvalu,39.1
Israel,37.0
El Salvador,38.6
Laos,36.4
Samoa,38.7
Burundi,38.6
Montenegro,39.0
China,38.5
Indonesia,37.8
Gabon,38.0
Tonga,37.6
Vanuatu,37.6
Russia,37.5
Bhutan,37.4
Solomon Islands,37.1
Kiribati,
Mauritius,36.8
Somalia,
Fiji,36.7
Yemen,36.7
Serbia,36.2
Gambia,35.9
Georgia,36.4
Italy,35.9
Romania,36.0
Lithuania,37.3
Sierra Leone,35.7
Vietnam,35.7
India,35.7
Luxembourg,34.9
Liberia,35.3
Burkina Faso,35.3
Uzbekistan,36.8
Latvia,35.6
United Kingdom,34.8
Nigeria,35.1
Ethiopia,35.0
Thailand,36.4
Nauru,
Spain,34.7
Australia,34.4
Niger,34.3
Sudan,34.2
Tajikistan,34.0
Palestine,
Jordan,33.7
Guinea,33.7
Portugal,33.8
Canada,33.3
Albania,33.2
Switzerland,32.7
North Macedonia,
Bosnia and Herzegovina,33.0
Mali,40.1
Greece,34.4
Japan,32.9
Tunisia,32.8
Nepal,32.8
Cyprus,31.4
Mongolia,32.7
Mauritania,32.6
France,31.6
Bangladesh,32.4
Seychelles,46.8
Germany,31.9
Lebanon,31.8
Pakistan,33.5
Egypt,31.5
Ireland,32.8
South Korea,35.4
Maldives,31.3
Austria,29.7
Myanmar,
Estonia,30.4
Poland,29.7
Sweden,28.8
Armenia,34.4
Croatia,30.4
Kyrgyzstan,27.7
Hungary,30.6
Iraq,29.5
Malta,29.2
Timor-Leste,28.7
Denmark,28.7
Netherlands,28.5
Kazakhstan,27.5
Norway,27.0
Algeria,27.6
Finland,27.4
Belgium,27.4
Azerbaijan,33.7
Ukraine,26.1
Iceland,26.8
United Arab Emirates,32.5
Moldova,25.7
Belarus,25.2
Czech Republic,
Slovenia,24.2
Falkland Islands,36.0
Faroe Islands,22.7
Greenland,33.9
Macau,35.0
Qatar,41.1
New Zealand,36.2
Slovakia,25.2
Singapore,45.9
Hong Kong,53.9
Cambodia,37.9
Taiwan,33.6
Saudi Arabia,45.9
Afghanistan,29.4
