,footprintPerCap
Luxembourg,15.82
Aruba,11.88
Qatar,10.8
Australia,9.31
United States,8.22
Canada,8.17
Kuwait,8.13
Singapore,7.97
United Kingdom,7.93
Trinidad and Tobago,7.92
Montserrat,7.78
Oman,7.52
Bahrain,7.49
Belgium,7.44
Sweden,7.25
Estonia,6.86
Bahamas,6.84
Latvia,6.29
Israel,6.22
Mongolia,6.08
Austria,6.06
Taiwan,5.93
Finland,5.87
Lithuania,5.83
Slovenia,5.81
Switzerland,5.79
Bermuda,5.77
South Korea,5.69
Russia,5.69
Cayman Islands,5.65
Saudi Arabia,5.61
New Zealand,5.6
Ireland,5.57
Kazakhstan,5.55
Denmark,5.51
Turkmenistan,5.47
Antigua and Barbuda,5.38
Germany,5.3
Netherlands,5.28
Czech Republic,5.19
France,5.14
Belarus,5.09
Japan,5.02
Norway,4.98
Saint Kitts and Nevis,4.94
United Arab Emirates,4.94
Bhutan,4.84
French Polynesia,4.73
Italy,4.61
Barbados,4.48
Poland,4.44
Greece,4.38
Chile,4.36
Suriname,4.25
Cyprus,4.21
Paraguay,4.16
Brunei,4.06
Slovakia,4.06
Equatorial Guinea,3.97
Croatia,3.92
Portugal,3.88
Lebanon,3.84
Botswana,3.83
Montenegro,3.78
Malaysia,3.71
Libya,3.69
Spain,3.67
Reunion,3.65
New Caledonia,3.58
Venezuela,3.57
Mauritius,3.46
China,3.38
Turkey,3.33
Bulgaria,3.32
South Africa,3.31
Guadeloupe,3.23
Argentina,3.14
Bosnia and Herzegovina,3.12
Saint Vincent and the Grenadines,3.11
Brazil,3.11
Guyana,3.07
Grenada,2.98
Bolivia,2.96
Nauru,2.94
Hungary,2.92
Uruguay,2.91
Fiji,2.9
Mexico,2.89
British Virgin Islands,2.86
Costa Rica,2.84
Ukraine,2.84
Panama,2.79
Iran,2.79
Samoa,2.77
Romania,2.71
Tonga,2.7
Serbia,2.7
Thailand,2.66
Dominica,2.57
Mauritania,2.54
Cape Verde,2.52
Namibia,2.48
Saint Lucia,2.45
French Guiana,2.34
Tunisia,2.34
Uzbekistan,2.32
Azerbaijan,2.31
Peru,2.28
Armenia,2.23
Albania,2.21
Djibouti,2.19
Ecuador,2.17
Egypt,2.15
Algeria,2.12
Jordan,2.1
Martinique,2.08
Wallis and Futuna,2.07
El Salvador,2.07
Gabon,2.02
Eswatini,2.01
Ghana,1.97
Cuba,1.95
Kyrgyzstan,1.91
Papua New Guinea,1.91
Jamaica,1.89
Guatemala,1.89
Iraq,1.88
Colombia,1.87
Moldova,1.78
Honduras,1.68
Morocco,1.68
Lesotho,1.66
Vietnam,1.65
Georgia,1.58
Indonesia,1.58
Niger,1.56
Guinea-Bissau,1.53
Dominican Republic,1.53
Mali,1.53
Syria,1.51
Sao Tome and Principe,1.49
Chad,1.46
Myanmar,1.43
Benin,1.41
Guinea,1.41
Nicaragua,1.39
Zimbabwe,1.37
Sri Lanka,1.32
Tanzania,1.32
Solomon Islands,1.29
Republic of the Congo,1.29
Ivory Coast,1.27
Central African Republic,1.24
Sierra Leone,1.24
Somalia,1.24
Uganda,1.24
Laos,1.22
Liberia,1.21
Cambodia,1.21
Senegal,1.21
Burkina Faso,1.21
North Korea,1.17
Cameroon,1.17
Nigeria,1.16
India,1.16
Togo,1.13
Philippines,1.1
Comoros,1.03
Gambia,1.03
Yemen,1.03
Kenya,1.03
Ethiopia,1.02
Zambia,0.99
Madagascar,0.99
Nepal,0.98
Angola,0.93
Tajikistan,0.91
Rwanda,0.87
Mozambique,0.87
Malawi,0.81
Burundi,0.8
Afghanistan,0.79
Pakistan,0.79
Bangladesh,0.72
Haiti,0.61
Eritrea,0.49
Timor-Leste,0.48
